simulated time	num cells	num division	num death	wall time	oxygen	tnf
0	1137	1137	0	0.0880283	18999	274.461
40	1169	32	0	108.38	4.02262e-05	7.30081
80	1169	0	0	89.1667	8.57164e-14	0.029912
120	1169	0	0	88.779	1.82649e-22	0.000122552
160	1169	0	0	89.1837	3.892e-31	5.02105e-07
200	1169	0	0	89.2266	8.29331e-40	2.05716e-09
240	1169	0	0	89.2052	1.76719e-48	8.42837e-12
280	1169	0	0	89.6431	3.76563e-57	3.45317e-14
320	1169	0	0	89.3177	8.02402e-66	1.41479e-16
360	1169	0	0	89.5083	1.70981e-74	5.79651e-19
400	1169	0	0	106.605	3.64336e-83	57.5079
440	1169	0	0	91.0338	7.76348e-92	0.235615
480	1169	0	0	91.8392	1.65429e-100	0.000965332
520	1169	0	0	90.9214	3.52506e-109	3.95504e-06
560	1169	0	0	90.0582	7.5114e-118	1.62041e-08
600	1169	0	0	90.696	1.60057e-126	6.63896e-11
640	1169	0	0	90.9167	3.4106e-135	2.72004e-13
680	1169	0	0	90.156	7.2675e-144	1.11442e-15
720	1169	0	0	89.8479	1.5486e-152	4.56587e-18
760	1169	0	0	105.033	3.29985e-161	449.402
800	1169	0	0	91.1862	7.03152e-170	1.8515
840	1169	0	0	89.1347	1.49832e-178	0.00758575
880	1169	0	0	89.4793	3.1927e-187	3.10794e-05
920	1169	0	0	90.5368	6.8032e-196	1.27335e-07
960	1169	0	0	89.599	1.44967e-204	5.21702e-10
1000	1169	0	0	89.5386	3.08904e-213	2.13745e-12
1040	1169	0	0	88.5578	6.5823e-222	8.75732e-15
1080	1169	0	0	89.0222	1.4026e-230	3.58794e-17
1120	1169	0	0	89.1627	2.98873e-239	1.47001e-19
1160	1169	0	0	106.671	6.36857e-248	14.5494
1200	1169	0	0	89.0973	1.35705e-256	0.0596102
1240	1169	0	0	88.7043	2.89169e-265	0.000244228
1280	1169	0	0	89.426	6.16178e-274	1.00062e-06
1320	1169	0	0	89.1088	1.31299e-282	4.09963e-09
1360	1169	0	0	91.073	2.79779e-291	1.67965e-11
1400	1169	0	0	88.8184	5.96171e-300	6.88166e-14
1440	1169	0	0	87.008	0	2.81947e-16
1440.02	1169	0	0	0.139962	0	2.81173e-16
