Time;ID;x;y;z;radius;volume_total;radius_nuclear;contact_ECM;freezer;polarized_fraction;motility;cell_line;Cell_cell;phase;Cycle;NFkB
120;0;-51.0718;-1.76676;-83.3366;9.3468;3420.4;5.59394;0;0;2.18488e-07;0.01;0;3.43277;101;0;-1-1;-1
120;1;-37.941;-30.0579;-85.6776;10.879;5393.26;6.5097;0;0;2.18488e-07;0.01;0;4.43404;101;0;-1-1;-1
120;2;-34.1875;-13.5316;-86.9456;9.35871;3433.5;5.60084;0;0;2.18488e-07;0.01;0;4.39284;101;0;-1-1;-1
120;3;-35.0239;2.42782;-84.0667;9.84669;3999.08;5.89457;0;0;2.18488e-07;0.01;0;5.63145;101;0;-1-1;-1
120;4;-36.0685;20.4528;-84.527;11.0445;5643.27;6.60986;0;0;2.18488e-07;0.01;0;3.74314;101;0;-1-1;-1
120;5;-22.1587;-39.8144;-89.179;10.2302;4484.72;6.12302;0;0;2.18488e-07;0.01;0;3.80866;101;0;-1-1;-1
120;6;-21.2348;-23.523;-84.852;9.58608;3689.88;5.73615;0;0;2.18488e-07;0.01;0;6.1451;101;0;-1-1;-1
120;7;-20.3506;-5.91622;-84.5814;9.54877;3646.96;5.71545;0;0;2.18488e-07;0.01;0;5.38884;101;0;-1-1;-1
120;8;-20.0375;10.4391;-84.7433;9.81501;3960.6;5.87296;0;0;2.18488e-07;0.01;0;4.78061;101;0;-1-1;-1
120;9;-20.0214;27.0331;-86.5283;10.0075;4198.2;5.98869;0;0;2.18488e-07;0.01;0;4.13676;101;0;-1-1;-1
120;10;-8.0004;-51.5775;-85.4607;11.4394;6270.44;6.84606;0;0;2.18488e-07;0.01;0;3.70071;101;0;-1-1;-1
120;11;-6.38035;-33.0984;-85.6387;10.1982;4442.77;6.10399;0;0;2.18488e-07;0.01;0;5.25616;101;0;-1-1;-1
120;12;-6.62137;-15.8024;-86.2219;9.83472;3984.51;5.88403;0;0;2.18488e-07;0.01;0;5.57043;101;0;-1-1;-1
120;13;-4.98971;1.45154;-87.8972;11.205;5892.77;6.70379;0;0;2.18488e-07;0.01;0;4.54503;101;0;-1-1;-1
120;14;-4.89272;19.2601;-86.6953;11.2457;5957.2;6.73071;0;0;2.18488e-07;0.01;0;5.48258;101;0;-1-1;-1
120;15;-4.59528;37.0059;-89.4249;10.6789;5101.12;6.39018;0;0;2.18488e-07;0.01;0;4.40283;101;0;-1-1;-1
120;16;9.01664;-42.6926;-85.3769;11.1201;5759.94;6.65274;0;0;2.18488e-07;0.01;0;5.05055;101;0;-1-1;-1
120;17;9.78345;-23.251;-87.1219;11.0896;5712.69;6.63588;0;0;2.18488e-07;0.01;0;4.58993;101;0;-1-1;-1
120;18;11.3195;-5.95728;-85.5706;9.65359;3768.38;5.7771;0;0;2.18488e-07;0.01;0;4.1135;101;0;-1-1;-1
120;19;10.4309;10.5155;-84.8828;9.62556;3735.66;5.76077;0;0;2.18488e-07;0.01;0;4.65801;101;0;-1-1;-1
120;20;10.5686;28.0176;-85.5089;9.74814;3880.2;5.8334;0;0;2.18488e-07;0.01;0;6.05291;101;0;-1-1;-1
120;21;10.1775;47.071;-88.005;11.326;6085.79;6.77822;0;0;2.18488e-07;0.01;0;3.98962;101;0;-1-1;-1
120;22;24.8742;-52.0098;-84.2039;10.4465;4775.24;6.25286;0;0;2.18488e-07;0.01;0;2.83969;101;0;-1-1;-1
120;23;25.0038;-32.9423;-86.8186;11.1305;5776.07;6.66122;0;0;2.18488e-07;0.01;0;3.78598;101;0;-1-1;-1
120;24;25.0764;-15.2988;-83.9496;9.36765;3443.34;5.60327;0;0;2.18488e-07;0.01;0;5.39276;101;0;-1-1;-1
120;25;25.0421;1.89561;-85.265;9.45567;3541.33;5.65824;0;0;2.18488e-07;0.01;0;5.38954;101;0;-1-1;-1
120;26;24.7487;18.8938;-85.7807;9.76904;3905.21;5.84504;0;0;2.18488e-07;0.01;0;4.62463;101;0;-1-1;-1
120;27;25.7094;37.4947;-86.6808;10.7992;5275.53;6.46213;0;0;2.18488e-07;0.01;0;4.84528;101;0;-1-1;-1
120;28;41.4983;-41.6177;-85.9337;10.9615;5517.01;6.55901;0;0;2.18488e-07;0.01;0;3.25692;101;0;-1-1;-1
120;29;39.357;-24.0888;-83.7098;9.34404;3417.38;5.59264;0;0;2.18488e-07;0.01;0;5.04048;101;0;-1-1;-1
120;30;40.617;-6.85241;-86.3584;11.2023;5888.53;6.70296;0;0;2.18488e-07;0.01;0;4.63585;101;0;-1-1;-1
120;31;40.5179;10.0316;-87.2651;11.2163;5910.73;6.71106;0;0;2.18488e-07;0.01;0;3.48236;101;0;-1-1;-1
120;32;41.9861;28.8652;-87.8016;11.0942;5719.76;6.63938;0;0;2.18488e-07;0.01;0;2.69873;101;0;-1-1;-1
120;33;-75.0031;-15.7421;-71.0795;10.3588;4656;6.19736;0;0;2.18488e-07;0.01;0;2.78802;101;0;-1-1;-1
120;34;-60.271;-43.1511;-69.9977;10.9197;5454.09;6.53259;0;0;2.18488e-07;0.01;0;4.25581;101;0;-1-1;-1
120;35;-60.1117;-24.4294;-70.5561;10.1941;4437.51;6.10081;0;0;2.18488e-07;0.01;0;5.35725;101;0;-1-1;-1
120;36;-60.2105;-7.27032;-70.893;9.34258;3415.78;5.5912;0;0;2.18488e-07;0.01;0;5.18686;101;0;-1-1;-1
120;37;-58.7371;11.5007;-72.9026;11.3942;6196.44;6.8192;0;0;2.18488e-07;0.01;0;4.69546;101;0;-1-1;-1
120;38;-55.5187;28.2921;-80.2555;9.41655;3497.55;5.63568;0;0;2.18488e-07;0.01;0;3.42103;101;0;-1-1;-1
120;39;-59.9808;43.0184;-70.7596;10.48;4821.37;6.27217;0;0;2.18488e-07;0.01;0;3.71578;101;0;-1-1;-1
120;40;-45.3029;-52.8886;-73.4226;10.0063;4196.76;5.98752;0;0;2.18488e-07;0.01;0;3.42446;101;0;-1-1;-1
120;41;-45.3512;-33.4052;-69.4469;10.3769;4680.55;6.20988;0;0;2.18488e-07;0.01;0;6.82837;101;0;-1-1;-1
120;42;-44.7288;-15.047;-72.9367;11.5078;6383.6;6.88536;0;0;2.18488e-07;0.01;0;7.79883;101;0;-1-1;-1
120;43;-43.3309;2.78377;-69.8723;9.35746;3432.13;5.60024;0;0;2.18488e-07;0.01;0;7.3759;101;0;-1-1;-1
120;44;-43.0844;19.5038;-68.8999;9.34924;3423.09;5.59406;0;0;2.18488e-07;0.01;0;7.37507;101;0;-1-1;-1
120;45;-43.5279;35.8029;-70.2933;10.4313;4754.56;6.24233;0;0;2.18488e-07;0.01;0;7.01484;101;0;-1-1;-1
120;46;-45.4495;52.8785;-69.7651;9.32362;3395.01;5.57946;0;0;2.18488e-07;0.01;0;4.85551;101;0;-1-1;-1
120;47;-29.4337;-58.9195;-70.8206;9.56057;3660.5;5.72022;0;0;2.18488e-07;0.01;0;4.8844;101;0;-1-1;-1
120;48;-29.8896;-41.6582;-73.0002;11.4586;6302.01;6.8575;0;0;2.18488e-07;0.01;0;7.51946;101;0;-1-1;-1
120;49;-29.9485;-23.9749;-70.7293;9.68717;3807.85;5.7982;0;0;2.18488e-07;0.01;0;7.93391;101;0;-1-1;-1
120;50;-29.4117;-5.72077;-70.3999;9.32863;3400.5;5.58261;0;0;2.18488e-07;0.01;0;6.91212;101;0;-1-1;-1
120;51;-28.8566;10.6474;-70.0343;10.272;4539.91;6.14716;0;0;2.18488e-07;0.01;0;7.50751;101;0;-1-1;-1
120;52;-27.1456;28.7257;-69.4719;11.0233;5610.73;6.59671;0;0;2.18488e-07;0.01;0;7.95181;101;0;-1-1;-1
120;53;-29.8905;46.4013;-69.9686;10.2667;4532.96;6.1451;0;0;2.18488e-07;0.01;0;6.40211;101;0;-1-1;-1
120;54;-31.8019;64.4145;-70.9753;10.7594;5217.35;6.43965;0;0;2.18488e-07;0.01;0;5.08671;101;0;-1-1;-1
